window_id,data_source,timestamp_start,timestamp_end,window_duration_ms,vibration_mean,vibration_rms,vibration_std,vibration_variance,vibration_min,vibration_max,vibration_range,vibration_peak_to_peak,vibration_trend,rpm_mean,rpm_rms,rpm_std,rpm_variance,rpm_min,rpm_max,rpm_range,rpm_peak_to_peak,rpm_trend,object_temperature_mean,object_temperature_rms,object_temperature_std,object_temperature_variance,object_temperature_min,object_temperature_max,object_temperature_range,object_temperature_peak_to_peak,object_temperature_trend,room_temperature_mean,room_temperature_rms,room_temperature_std,room_temperature_variance,room_temperature_min,room_temperature_max,room_temperature_range,room_temperature_peak_to_peak,room_temperature_trend,distance_mean,distance_rms,distance_std,distance_variance,distance_min,distance_max,distance_range,distance_peak_to_peak,distance_trend,belt_height_mean,belt_height_rms,belt_height_std,belt_height_variance,belt_height_min,belt_height_max,belt_height_range,belt_height_peak_to_peak,belt_height_trend,status
0,SYNTHETIC,0,9000,9000,6.248587268884597,6.746214701272562,2.5429451309061655,6.466569938799374,1.828760661411316,9.585476694403452,7.756716032992136,7.756716032992136,-2.8474169738114865,118510.36124663721,118626.55546354716,5249.184540248323,27553938.337582003,111241.26213080312,128437.0490030999,17195.786872296783,17195.786872296783,7980.726472295035,35.365011293529065,35.4941551703338,3.025066522292578,9.151027464295312,31.15898865319249,39.52975161560104,8.370762962408552,8.370762962408552,-1.551980336966004,34.80382304330242,34.93089829793746,2.9768368230961855,8.86155747134139,30.795055630923702,38.29221141203119,7.497155781107491,7.497155781107491,-0.783848077666569,1.406845476642008,1.5549724062113994,0.6623631850660104,0.4387249889307899,0.6269062251394814,2.585229996090324,1.9583237709508428,1.9583237709508428,-0.29085446212684807,12.593154523357992,12.610561678137204,0.6623631850660098,0.4387249889307891,11.414770003909677,13.373093774860518,1.958323770950841,1.958323770950841,0.2908544621268483,NORMAL
1,SYNTHETIC,10000,19000,9000,5.851035447525909,6.292910436487459,2.3164856903179993,5.3661059534480575,1.561591853716743,9.155531901867697,7.593940048150953,7.593940048150953,2.2956240990274557,120432.85783956654,120553.75970211184,5397.752394217589,29135730.90928172,110805.07479879848,129001.22189248874,18196.147093690262,18196.147093690262,-4206.372254131944,33.15084552631192,33.20300376937688,1.8603494832584822,3.4609001998601014,30.32043589378177,36.14386106535186,5.823425171570086,5.823425171570086,3.263454961528627,35.23059402102458,35.35215726093627,2.9292094373254933,8.580267927716733,30.91559834370569,39.481476845148336,8.565878501442647,8.565878501442647,-0.582636410422424,1.329723076346673,1.53585622379592,0.7685641680457154,0.5906908804038027,0.320409102072143,2.803351100378205,2.482941998306062,2.482941998306062,1.2809554904947333,12.670276923653327,12.693565622096331,0.7685641680457154,0.5906908804038027,11.196648899621795,13.679590897927858,2.482941998306062,2.482941998306062,-1.2809554904947333,NORMAL
2,SYNTHETIC,20000,29000,9000,5.661640080840458,6.301222384966532,2.766086611048932,7.6512351398241645,1.3854731389276131,9.54214261467515,8.156669475747536,8.156669475747536,-0.660341324217689,123166.65168334477,123257.15621629271,4722.5492735607195,22302471.64120888,116049.60562275857,129836.15432995257,13786.548707194,13786.548707194,-9786.949711364883,34.18478984139773,34.26416976777146,2.3309812041571574,5.433473374133952,30.1377735529405,38.10302555273466,7.965251999794155,7.965251999794155,-0.5781940629785467,34.74301971749605,34.8064940164585,2.1010965297772897,4.414606627442169,31.41289267087101,38.59680301241987,7.183910341548859,7.183910341548859,-0.15261461203432702,1.9012214872855133,2.05074607502549,0.76871081722343,0.5909163205163137,0.7414790075143565,2.8512984151745213,2.109819407660165,2.109819407660165,1.9137696899724266,12.098778512714485,12.123174411854269,0.7687108172234304,0.5909163205163142,11.148701584825478,13.258520992485645,2.109819407660167,2.109819407660167,-1.913769689972428,NORMAL
3,SYNTHETIC,30000,39000,9000,5.021541830389549,5.4967235593908175,2.235640296203761,4.9980875340100415,2.14330924695215,9.51408564542105,7.3707763984689,7.3707763984689,-0.6595438187826996,120160.7419157869,120231.0139948277,4110.088620955757,16892828.472109992,112516.1403662457,128141.72653819017,15625.586171944466,15625.586171944466,-8720.238235014302,34.51607402125582,34.657648926055714,3.1294189941456887,9.793263240919813,30.218313916458115,39.42404250808522,9.205728591627107,9.205728591627107,7.420126756425468,34.47244299747716,34.622140041443664,3.216093101112589,10.343254835023988,30.04984965294473,39.85364562168222,9.80379596873749,9.80379596873749,-1.5436468876250942,1.5803310999306979,1.6925697043219516,0.6060906026167459,0.3673458185803301,0.5472554828677073,2.571134570031169,2.0238790871634618,2.0238790871634618,0.8698986334319783,12.4196689000693,12.434448978781848,0.6060906026167455,0.3673458185803298,11.42886542996883,13.452744517132292,2.0238790871634613,2.0238790871634613,-0.869898633431978,NORMAL
4,SYNTHETIC,40000,49000,9000,5.767435629221025,6.154778035644283,2.1489483313568,4.617978930841175,2.2298218557619265,8.32756812530897,6.097746269547043,6.097746269547043,-2.6171150303145847,119014.45278239774,119156.33545047998,5813.115076594281,33792306.893727735,110395.32890685384,127212.6080279226,16817.279121068757,16817.279121068757,3099.133963342829,35.1321863941432,35.26381208187162,3.0439976532077835,9.265921712734494,30.423461139987047,39.81004811353773,9.386586973550685,9.386586973550685,0.5147824177747182,36.511873293158565,36.592210822768934,2.4234276391718272,5.873001522301935,32.486746620361735,39.75404323826221,7.267296617900477,7.267296617900477,-1.3104466444549203,1.4843574918929427,1.637316072891336,0.6910041669987232,0.47748675880959945,0.5787893998313318,2.789020615043695,2.210231215212363,2.210231215212363,0.7703638285690797,12.515642508107058,12.534703592408794,0.6910041669987237,0.4774867588096,11.210979384956303,13.421210600168669,2.2102312152123655,2.2102312152123655,-0.7703638285690779,NORMAL
5,SYNTHETIC,50000,59000,9000,4.895693260028638,5.502690096910106,2.512326771409865,6.3117858063427175,1.0647879738088486,7.924934522018819,6.86014654820997,6.86014654820997,-0.7513275346643868,119051.19150478698,119168.85624884866,5294.346130476724,28030100.949293863,112587.2560691655,128206.53820370504,15619.28213453955,15619.28213453955,670.838847908919,34.73830560889253,34.90807792278319,3.438608393854906,11.824027686289416,30.16230456342472,39.87647447756461,9.714169914139887,9.714169914139887,-9.359259560900696,34.780010832479356,34.87916523688138,2.62811988202467,6.907014114293365,30.975447067729828,38.86557913666278,7.890132068932953,7.890132068932953,-6.166585697099364,2.0854941215469815,2.180037079202994,0.635040105578305,0.4032759356929049,1.020505488411892,2.8695766962296045,1.8490712078177125,1.8490712078177125,-0.41866992638594436,11.914505878453017,11.931417613317558,0.6350401055783047,0.4032759356929043,11.130423303770396,12.979494511588108,1.8490712078177118,1.8490712078177118,0.4186699263859417,NORMAL
6,SYNTHETIC,60000,69000,9000,5.390077414886005,5.66383074766052,1.739552873493797,3.026044199680526,1.2711969441978668,7.7319899452610255,6.460793001063159,6.460793001063159,-2.0388330385113616,120497.16095217988,120634.42374484151,5753.120432811254,33098394.714430355,110464.55164693516,129522.56781383416,19058.016166899004,19058.016166899004,-11057.220447016181,35.39668132054486,35.52020922214951,2.95976598349687,8.760214677065196,30.907017660899687,39.71135151802328,8.804333857123591,8.804333857123591,-4.408713327360118,34.758648458053486,34.81662550461704,2.0084244815790653,4.033768898206136,31.819429552767527,38.8280933214458,7.008663768678272,7.008663768678272,-1.4932107836118007,1.7102400166732887,1.9157861947209422,0.8633167606693943,0.7453158292526962,0.5325759446676195,2.907095658630253,2.3745197139626333,2.3745197139626333,-2.2002680767537703,12.28975998332671,12.320045303367648,0.863316760669395,0.7453158292526975,11.092904341369746,13.46742405533238,2.374519713962634,2.374519713962634,2.2002680767537726,NORMAL
7,SYNTHETIC,70000,79000,9000,4.8249931661304055,5.312640136826742,2.2234176778593255,4.9435861702173565,1.513064126863781,8.509947044759862,6.996882917896081,6.996882917896081,5.0099591193245825,122084.2038375301,122156.49956077246,4202.089753610877,17657558.297401518,116444.31347645876,128718.74998871452,12274.436512255765,12274.436512255765,-10819.926927275126,34.858839241245015,34.98808081281986,3.0045175515296805,9.027125717449906,30.3106960006984,39.76527066415146,9.454574663453059,9.454574663453059,-8.284611917394855,36.12004876488113,36.24165747518737,2.9664480058502134,8.799813771412708,30.162571098927184,39.64013702359797,9.477565924670788,9.477565924670788,2.5104255891787837,1.292070514455801,1.409100547239304,0.5622438420329983,0.3161181379040271,0.2814005196726316,2.017785274429377,1.7363847547567453,1.7363847547567453,0.1619396947454157,12.7079294855442,12.720361234944063,0.5622438420329977,0.31611813790402643,11.982214725570625,13.718599480327368,1.7363847547567435,1.7363847547567435,-0.16193969474541348,NORMAL
8,SYNTHETIC,80000,89000,9000,4.5296859622072425,5.099832788517094,2.343126021923853,5.490239554616701,1.199866243577972,8.163379385061106,6.9635131414831335,6.9635131414831335,-1.4367651339714111,124223.17464761478,124306.44268179612,4549.128781521326,20694572.670865707,114884.10001531776,129564.08861529124,14679.988599973483,14679.988599973483,4244.943874967677,34.2790052147334,34.3317645119243,1.9025919138126095,3.6198559905051284,31.813214587658525,37.16751750163609,5.354302913977566,5.354302913977566,0.7467155322829058,34.97809566704419,35.07791961274678,2.644478751177545,6.993267865429547,31.13907254819022,39.19087127968556,8.051798731495339,8.051798731495339,6.971348765214891,1.4750195450407246,1.6311495952207926,0.6963952496512373,0.48496634373680914,0.4050887612691439,2.785025898754926,2.3799371374857823,2.3799371374857823,-0.5357433268306462,12.524980454959277,12.544325479707892,0.6963952496512371,0.4849663437368088,11.214974101245074,13.594911238730855,2.379937137485781,2.379937137485781,0.535743326830648,NORMAL
9,SYNTHETIC,90000,99000,9000,4.640534267275579,5.196901499230053,2.3394928738811487,5.473226906940676,1.771319289981689,9.464699448035727,7.693380158054039,7.693380158054039,7.124352944159845,118982.59968630741,119083.4926750636,4900.9386427344025,24019199.579847325,113353.99039355562,127211.39838588751,13857.407992331893,13857.407992331893,-1450.535129424461,34.13842873865705,34.25009126403673,2.7634100040493133,7.636434850479826,30.389793775373203,39.00091278143682,8.611119006063614,8.611119006063614,-1.228324551369404,35.020164426305215,35.19266294285487,3.4801736399117957,12.111608563936917,30.474734974330943,39.64581204436311,9.171077070032169,9.171077070032169,-7.048825629129869,1.6659232245532063,1.8376089354973433,0.7755684429590509,0.6015064097139267,0.4826633580347177,2.7345397173976957,2.251876359362978,2.251876359362978,2.251876359362978,12.334076775446794,12.358436645155807,0.7755684429590515,0.6015064097139275,11.265460282602303,13.517336641965285,2.2518763593629814,2.2518763593629814,-2.2518763593629814,NORMAL
