timestamp,vibration,rpm,object_temperature_c,room_temperature_c,distance_cm,belt_height_from_ground_cm,status,data_source
1501000,15.117586965553741,146350.12872590014,47.350714789224355,47.79856278967867,30.40706225459082,-16.40706225459082,WARNING_1,SYNTHETIC
2586000,26.126467746010228,187763.79705033754,50.6902199083937,54.77552535295913,53.3365971705258,-39.3365971705258,WARNING_2,SYNTHETIC
2653000,21.522467502973992,185630.40480173632,56.68609472681098,53.879660548790206,52.155279408016604,-38.155279408016604,WARNING_2,SYNTHETIC
1055000,12.819386773540215,131912.23403869176,43.88996578502429,45.927661254723866,42.92114405278998,-28.921144052789977,WARNING_1,SYNTHETIC
705000,5.941106670846585,129732.57493726461,34.68405319615673,31.53100375803377,1.0314284658896236,12.968571534110376,NORMAL,SYNTHETIC
106000,4.954381218865341,112314.08334618859,37.13586609907417,33.31474323659124,2.193602875129744,11.806397124870255,NORMAL,SYNTHETIC
589000,1.2184435598274383,113395.99947545415,34.02370883172184,32.925945898491236,2.6739439375037617,11.326056062496239,NORMAL,SYNTHETIC
2468000,24.732677146451323,188159.06658672835,52.54762081777341,51.55749996736764,49.07955494843401,-35.07955494843401,WARNING_2,SYNTHETIC
2413000,25.230683541331835,185554.30712954502,59.495660254445646,52.80332072691309,53.733022029605465,-39.733022029605465,WARNING_2,SYNTHETIC
1600000,15.363398641841965,130872.23521079274,49.98171470606566,45.409752500234696,25.807236155901276,-11.807236155901276,WARNING_1,SYNTHETIC
2464000,22.583561593826584,188737.0803092941,58.44598431566197,56.8081443749914,53.69697662064767,-39.69697662064767,WARNING_2,SYNTHETIC
228000,6.578980982793549,128710.8388768531,30.387513315284295,36.480939302815166,1.7586463219248565,12.241353678075143,NORMAL,SYNTHETIC
915000,9.386392368358237,114055.80905218318,31.549851781060568,33.04911345284916,2.481726325345607,11.518273674654393,NORMAL,SYNTHETIC
794000,1.262545976877338,128195.93245466467,38.46598216287817,35.62329494417744,1.084328158247746,12.915671841752253,NORMAL,SYNTHETIC
3021000,39.02296465859585,197396.06367033234,60.45263570109881,68.34063735525812,60.698980850920506,-46.698980850920506,WARNING_3,SYNTHETIC
3543000,35.45536777529604,198936.3142776522,63.54856385802683,65.45250100987103,61.67282148626274,-47.67282148626274,WARNING_3,SYNTHETIC
1073000,15.10676350312512,139150.2636874099,45.34531238063783,44.546348623015604,32.13790462456357,-18.137904624563568,WARNING_1,SYNTHETIC
3351000,35.831384263347424,194929.53811628578,65.53568712895577,67.78197823089299,56.47294874012778,-42.47294874012778,WARNING_3,SYNTHETIC
1744000,16.832602468757937,134744.0066435293,47.889108884589234,45.71665280177004,37.56937978591181,-23.569379785911813,WARNING_1,SYNTHETIC
1084000,19.3374448906366,134788.99683113984,46.3625655362129,41.34661494471573,4.1536838416446855,9.846316158355314,WARNING_1,SYNTHETIC
